2020-07-13 16:34:08,940 [main] INFO  visa.SREIntern.init.AlertRelayApplication - Starting AlertRelayApplication on Jannies-MacBook-Pro.local with PID 21157 (/Users/janniezhong/IdeaProjects/spring-alert-relay/target/classes started by janniezhong in /Users/janniezhong/IdeaProjects/spring-alert-relay)
2020-07-13 16:34:16,940 [http-nio-8080-exec-1] INFO  visa.SREIntern.init.storage.InputJDBCTemplate - Database entry successful, with no errors. Input was: MapSqlParameterSource {v_alert_id=5946832562790000, v_category=category, v_component=component, v_priority=P1, v_source=Runscope, v_alert_time=1970-01-18 21:10:14.4, v_title=Test Test , v_link=https://www.runscope.com/radar/25itiezty229/d98e3120-bc23-402b-b83a-969a47ac19b8/results/11616c81-70e1-4d69-9857-3a7a062252d0, v_result_count=1.0}
2020-07-13 16:34:16,942 [http-nio-8080-exec-1] INFO  visa.SREIntern.init.controllers.impl.RelayControllerImpl - Server response: "<200 OK OK,Input success. Input {alert_id=5946832562790000, category='category', component='component', priority='P1', alert_source='Runscope', alert_time=1970-01-18 21:10:14.4, alert_title='Test Test ', results_link='https://www.runscope.com/radar/25itiezty229/d98e3120-bc23-402b-b83a-969a47ac19b8/results/11616c81-70e1-4d69-9857-3a7a062252d0', error_count=1.0}
,[]>"
2020-07-13 16:59:28,278 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=9m46s277ms).
2020-07-13 17:04:11,470 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=4m13s184ms).
2020-07-13 17:24:27,823 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=9m46s250ms).
2020-07-13 17:27:43,669 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=3m15s847ms).
2020-07-13 17:43:30,415 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=5m16s628ms).
2020-07-13 18:03:46,840 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=9m46s322ms).
2020-07-13 18:08:56,935 [SpringContextShutdownHook] INFO  org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2020-07-13 18:08:56,938 [SpringContextShutdownHook] INFO  org.hibernate.tool.schema.internal.SchemaDropperImpl$DelayedDropActionImpl - HHH000477: Starting delayed evictData of schema as part of SessionFactory shut-down'
2020-07-13 18:08:56,951 [SpringContextShutdownHook] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-07-13 18:08:56,953 [SpringContextShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2020-07-13 18:08:56,959 [SpringContextShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2020-07-14 13:03:36,940 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [visa.SREIntern.init.AlertRelayApplicationTests], using SpringBootContextLoader
2020-07-14 13:03:36,958 [main] INFO  org.springframework.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [visa.SREIntern.init.AlertRelayApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-07-14 13:03:36,959 [main] INFO  org.springframework.test.context.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [visa.SREIntern.init.AlertRelayApplicationTests]: AlertRelayApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-07-14 13:03:37,130 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration visa.SREIntern.init.AlertRelayApplication for test class visa.SREIntern.init.AlertRelayApplicationTests
